name,price,location,posted_date,image_name,img_link,description,price_type
غرفة نوم أطفال خشب ممتاز,"EGP 21,000","Hadayek al-Ahram, Giza",3 days ago,غرفة نوم أطفال خشب ممتاز.jpg,https://images.dubizzle.com.eg/thumbnails/137116996-400x300.jpeg,"غرفة نوم أطفال خشب ممتاز. السعر: جنيه مصري 21000. الموقع: Hadayek al-Ahram, Giza. مصنوع من الخشب تم النشر منذ 3 يومs مضت.",Fixed
سفره كامله,"EGP 20,000","Tanta, Gharbia",3 days ago,سفره كامله.jpg,https://images.dubizzle.com.eg/thumbnails/137025531-400x300.jpeg,"سفره كامله. السعر: جنيه مصري 20000. الموقع: Tanta, Gharbia.  تم النشر منذ 3 يومs مضت.",Fixed
طقم انتريه كامل  استعمال بسيط جداً,"EGP 42,000","Sheikh Zayed, Giza",3 days ago,طقم انتريه كامل  استعمال بسيط جداً.jpg,https://images.dubizzle.com.eg/thumbnails/137110515-400x300.jpeg,"طقم انتريه كامل  استعمال بسيط جداً. السعر: جنيه مصري 42000. الموقع: Sheikh Zayed, Giza.  تم النشر منذ 3 يومs مضت.",Fixed
مكتبة ليفينج قيمة,"EGP 8,000","Agouza, Giza",8 hours ago,مكتبة ليفينج قيمة.jpg,https://images.dubizzle.com.eg/thumbnails/137272822-400x300.jpeg,"مكتبة ليفينج قيمة. السعر: جنيه مصري 8000. الموقع: Agouza, Giza.  تم النشر منذ 8 ساعةs مضت.",Fixed
اثاث مستعمل,"EGP 2,500","Matareya, Cairo",1 day ago,اثاث مستعمل.jpg,https://images.dubizzle.com.eg/thumbnails/137220272-400x300.jpeg,"اثاث مستعمل. السعر: جنيه مصري 2500. الموقع: Matareya, Cairo. مستعمل تم النشر منذ 1 يوم مضت.",Fixed
سفره خشب زان,"EGP 35,000","10th District, Sheikh Zayed",10 hours ago,سفره خشب زان.jpg,https://images.dubizzle.com.eg/thumbnails/137264612-400x300.jpeg,"سفره خشب زان. السعر: جنيه مصري 35000. الموقع: 10th District, Sheikh Zayed. مصنوع من الخشب تم النشر منذ 10 ساعةs مضت.",Fixed
غرفة نوم ملكي,"EGP 40,000","1st District, 6th of October",6 days ago,غرفة نوم ملكي.jpg,https://images.dubizzle.com.eg/thumbnails/133888905-400x300.jpeg,"غرفة نوم ملكي. السعر: جنيه مصري 40000. الموقع: 1st District, 6th of October.  تم النشر منذ 6 يومs مضت.",Negotiable
ركنة سرير للبيع,"EGP 30,000","5th Settlement, New Cairo",3 days ago,ركنة سرير للبيع.jpg,https://images.dubizzle.com.eg/thumbnails/136669805-400x300.jpeg,"ركنة سرير للبيع. السعر: جنيه مصري 30000. الموقع: 5th Settlement, New Cairo.  تم النشر منذ 3 يومs مضت.",Fixed
ليفينج مكون من ٢ كنبه سرير خشب قوي استعمال خفيف,"EGP 22,000","Madinaty, Cairo",2 days ago,ليفينج مكون من ٢ كنبه سرير خشب قوي استعمال خفيف.jpg,https://images.dubizzle.com.eg/thumbnails/137068828-400x300.jpeg,"ليفينج مكون من ٢ كنبه سرير خشب قوي استعمال خفيف. السعر: جنيه مصري 22000. الموقع: Madinaty, Cairo. مصنوع من الخشب تم النشر منذ 2 يومs مضت.",Fixed
صالون,"EGP 25,000","Rehab City Compound, New Cairo",6 days ago,صالون.jpg,https://images.dubizzle.com.eg/thumbnails/136922910-400x300.jpeg,"صالون. السعر: جنيه مصري 25000. الموقع: Rehab City Compound, New Cairo.  تم النشر منذ 6 يومs مضت.",Fixed
غرفة سفرة خشب زان في خلال اسبوع او ١٠ ايام لغرض الانتقال,"EGP 15,000","October Plaza Sodic Compound, 6th of October",4 days ago,غرفة سفرة خشب زان في خلال اسبوع او ١٠ ايام لغرض الانتقال.jpg,https://images.dubizzle.com.eg/thumbnails/137030199-400x300.jpeg,"غرفة سفرة خشب زان في خلال اسبوع او ١٠ ايام لغرض الانتقال. السعر: جنيه مصري 15000. الموقع: October Plaza Sodic Compound, 6th of October. مصنوع من الخشب تم النشر منذ 4 يومs مضت.",Fixed
شراء كل ماهو قديم ومستعمل باعلى سعؤ اتصل بنا نصلك فى نفس اليوم,EGP 750,"Heliopolis, Cairo",4 days ago,شراء كل ماهو قديم ومستعمل باعلى سعؤ اتصل بنا نصلك فى نفس اليوم.jpg,https://images.dubizzle.com.eg/thumbnails/101353510-400x300.jpeg,"شراء كل ماهو قديم ومستعمل باعلى سعؤ اتصل بنا نصلك فى نفس اليوم. السعر: جنيه مصري 750. الموقع: Heliopolis, Cairo. مستعمل تم النشر منذ 4 يومs مضت.",Fixed
سفر فخمه للبيع,"EGP 40,000","Fayoum City, Fayoum",49 minutes ago,سفر فخمه للبيع.jpg,https://images.dubizzle.com.eg/thumbnails/137307709-400x300.jpeg,"سفر فخمه للبيع. السعر: جنيه مصري 40000. الموقع: Fayoum City, Fayoum.  تم النشر منذ 49 دقيقة مضت.",Fixed
Sofabed - كنبة وسرير,"EGP 13,000","5th District, New Cairo",5 days ago,Sofabed - كنبة وسرير.jpg,https://images.dubizzle.com.eg/thumbnails/136259373-400x300.jpeg,"Sofabed - كنبة وسرير. السعر: جنيه مصري 13000. الموقع: 5th District, New Cairo.  تم النشر منذ 5 يومs مضت.",Negotiable
انتريه كامل خشب ثقيل,"EGP 20,000","Rehab City Compound, New Cairo",11 hours ago,انتريه كامل خشب ثقيل.jpg,https://images.dubizzle.com.eg/thumbnails/137260955-400x300.jpeg,"انتريه كامل خشب ثقيل. السعر: جنيه مصري 20000. الموقع: Rehab City Compound, New Cairo. مصنوع من الخشب تم النشر منذ 11 ساعةs مضت.",Negotiable
غرفة نوم ماستر بدون دولاب,"EGP 35,000","New Cairo, Cairo",6 days ago,غرفة نوم ماستر بدون دولاب.jpg,https://images.dubizzle.com.eg/thumbnails/136861837-400x300.jpeg,"غرفة نوم ماستر بدون دولاب. السعر: جنيه مصري 35000. الموقع: New Cairo, Cairo.  تم النشر منذ 6 يومs مضت.",Negotiable
ترابيزة سفرة كاملة بحالة ممتازة جداً والبيع لظروف السفر.,"EGP 16,000","Mansura, Dakahlia",17 hours ago,ترابيزة سفرة كاملة بحالة ممتازة جداً والبيع لظروف السفر..jpg,https://images.dubizzle.com.eg/thumbnails/128730786-400x300.jpeg,"ترابيزة سفرة كاملة بحالة ممتازة جداً والبيع لظروف السفر.. السعر: جنيه مصري 16000. الموقع: Mansura, Dakahlia.  تم النشر منذ 17 ساعةs مضت.",Negotiable
used furniture for sale,"EGP 7,000","Mahalla al-Kobra, Gharbia",3 days ago,used furniture for sale.jpg,https://images.dubizzle.com.eg/thumbnails/137074565-400x300.jpeg,"used furniture for sale. السعر: جنيه مصري 7000. الموقع: Mahalla al-Kobra, Gharbia. مستعمل تم النشر منذ 3 يومs مضت.",Negotiable
انتريه مودرن,"EGP 7,000","Basateen, Cairo",3 minutes ago,انتريه مودرن.jpg,https://images.dubizzle.com.eg/thumbnails/137309623-400x300.jpeg,"انتريه مودرن. السعر: جنيه مصري 7000. الموقع: Basateen, Cairo.  تم النشر منذ 3 دقيقة مضت.",Negotiable
صالون مدهب خشب زان والستائر هدية,"EGP 22,000","Hadayek al-Kobba, Cairo",3 minutes ago,صالون مدهب خشب زان والستائر هدية.jpg,https://images.dubizzle.com.eg/thumbnails/137309588-400x300.jpeg,"صالون مدهب خشب زان والستائر هدية. السعر: جنيه مصري 22000. الموقع: Hadayek al-Kobba, Cairo. مصنوع من الخشب تم النشر منذ 3 دقيقة مضت.",Negotiable
عمود نور فانوس,"EGP 1,000","Zawya al-Hamra, Cairo",6 minutes ago,عمود نور فانوس.jpg,https://images.dubizzle.com.eg/thumbnails/130247687-400x300.jpeg,"عمود نور فانوس. السعر: جنيه مصري 1000. الموقع: Zawya al-Hamra, Cairo.  تم النشر منذ 6 دقيقة مضت.",Fixed
Salon / Living Room,"EGP 25,000","5th Settlement, New Cairo",12 minutes ago,Salon  Living Room.jpg,https://images.dubizzle.com.eg/thumbnails/137309216-400x300.jpeg,"Salon / Living Room. السعر: جنيه مصري 25000. الموقع: 5th Settlement, New Cairo.  تم النشر منذ 12 دقيقة مضت.",Negotiable
طقم انتريه مكتب,"EGP 19,000","Zefta, Gharbia",12 minutes ago,طقم انتريه مكتب.jpg,https://images.dubizzle.com.eg/thumbnails/129910174-400x300.jpeg,"طقم انتريه مكتب. السعر: جنيه مصري 19000. الموقع: Zefta, Gharbia.  تم النشر منذ 12 دقيقة مضت.",Negotiable
سرير خشب 150cm مستعمل,"EGP 1,500","Gardenia Compound, Nasr City",13 minutes ago,سرير خشب 150cm مستعمل.jpg,https://images.dubizzle.com.eg/thumbnails/137309192-400x300.jpeg,"سرير خشب 150cm مستعمل. السعر: جنيه مصري 1500. الموقع: Gardenia Compound, Nasr City. مصنوع من الخشب • مستعمل تم النشر منذ 13 دقيقة مضت.",Negotiable
اثاث دمياطي,"EGP 30,000","Mansura, Dakahlia",14 minutes ago,اثاث دمياطي.jpg,https://images.dubizzle.com.eg/thumbnails/118418442-400x300.jpeg,"اثاث دمياطي. السعر: جنيه مصري 30000. الموقع: Mansura, Dakahlia.  تم النشر منذ 14 دقيقة مضت.",Negotiable
صالون وليفينح ٢×٣,"EGP 30,000","New Nozha, Cairo",15 minutes ago,صالون وليفينح ٢×٣.jpg,https://images.dubizzle.com.eg/thumbnails/137306615-400x300.jpeg,"صالون وليفينح ٢×٣. السعر: جنيه مصري 30000. الموقع: New Nozha, Cairo.  تم النشر منذ 15 دقيقة مضت.",Fixed
اثاث مكتبي كامل,"EGP 80,000","Giselle Compound, Sheikh Zayed",15 minutes ago,اثاث مكتبي كامل.jpg,https://images.dubizzle.com.eg/thumbnails/137167898-400x300.jpeg,"اثاث مكتبي كامل. السعر: جنيه مصري 80000. الموقع: Giselle Compound, Sheikh Zayed.  تم النشر منذ 15 دقيقة مضت.",Fixed
سفرة جولدن قباني للبيع,"EGP 42,000","El Maadi, Maadi",15 minutes ago,سفرة جولدن قباني للبيع.jpg,https://images.dubizzle.com.eg/thumbnails/136311855-400x300.jpeg,"سفرة جولدن قباني للبيع. السعر: جنيه مصري 42000. الموقع: El Maadi, Maadi.  تم النشر منذ 15 دقيقة مضت.",Fixed
سفرة قابلة للتمديد,"EGP 12,000","8th District, Sheikh Zayed",15 minutes ago,سفرة قابلة للتمديد.jpg,https://images.dubizzle.com.eg/thumbnails/134743119-400x300.jpeg,"سفرة قابلة للتمديد. السعر: جنيه مصري 12000. الموقع: 8th District, Sheikh Zayed.  تم النشر منذ 15 دقيقة مضت.",Negotiable
عفش كامل للبيع,"EGP 120,000","Ain Shams, Cairo",15 minutes ago,عفش كامل للبيع.jpg,https://images.dubizzle.com.eg/thumbnails/110269382-400x300.jpeg,"عفش كامل للبيع. السعر: جنيه مصري 120000. الموقع: Ain Shams, Cairo.  تم النشر منذ 15 دقيقة مضت.",Fixed
شبه جديده لسرعه البيع تركي اصلي بالتيكت و سعرها الاصلي 10000,"EGP 5,000","Haram, Giza",17 minutes ago,شبه جديده لسرعه البيع تركي اصلي بالتيكت و سعرها الاصلي 10000.jpg,https://images.dubizzle.com.eg/thumbnails/137309066-400x300.jpeg,"شبه جديده لسرعه البيع تركي اصلي بالتيكت و سعرها الاصلي 10000. السعر: جنيه مصري 5000. الموقع: Haram, Giza. جديد تم النشر منذ 17 دقيقة مضت.",Negotiable
عدد 3 تابلوه ايات قرأنيهاستعمال بدون عيوب من 50 سنه,EGP 500,"Bolkly, Alexandria",18 minutes ago,عدد 3 تابلوه ايات قرأنيهاستعمال بدون عيوب من 50 سنه.jpg,https://images.dubizzle.com.eg/thumbnails/137309015-400x300.jpeg,"عدد 3 تابلوه ايات قرأنيهاستعمال بدون عيوب من 50 سنه. السعر: جنيه مصري 500. الموقع: Bolkly, Alexandria.  تم النشر منذ 18 دقيقة مضت.",Negotiable
كراسى وتربيزه حديد,"EGP 1,000","Hadayek October, Giza",21 minutes ago,كراسى وتربيزه حديد.jpg,https://images.dubizzle.com.eg/thumbnails/137308894-400x300.jpeg,"كراسى وتربيزه حديد. السعر: جنيه مصري 1000. الموقع: Hadayek October, Giza.  تم النشر منذ 21 دقيقة مضت.",Fixed
مجموعة اقلام باركر اصليه امريكى وانجليزى وواحد ترومان فرنسى,EGP 300,"Saba Pasha, Alexandria",25 minutes ago,مجموعة اقلام باركر اصليه امريكى وانجليزى وواحد ترومان فرنسى.jpg,https://images.dubizzle.com.eg/thumbnails/137308747-400x300.jpeg,"مجموعة اقلام باركر اصليه امريكى وانجليزى وواحد ترومان فرنسى. السعر: جنيه مصري 300. الموقع: Saba Pasha, Alexandria.  تم النشر منذ 25 دقيقة مضت.",Fixed
مطبخ للبيع,"EGP 2,200","Warraq, Giza",26 minutes ago,مطبخ للبيع.jpg,https://images.dubizzle.com.eg/thumbnails/137308716-400x300.jpeg,"مطبخ للبيع. السعر: جنيه مصري 2200. الموقع: Warraq, Giza.  تم النشر منذ 26 دقيقة مضت.",Fixed
باكوس ش السوق خلف 108,"EGP 28,000","Bacchus, Alexandria",28 minutes ago,باكوس ش السوق خلف 108.jpg,https://images.dubizzle.com.eg/thumbnails/137024436-400x300.jpeg,"باكوس ش السوق خلف 108. السعر: جنيه مصري 28000. الموقع: Bacchus, Alexandria.  تم النشر منذ 28 دقيقة مضت.",Fixed
كرسين باجيرو,"EGP 6,500","Hadayek al-Ahram, Giza",33 minutes ago,كرسين باجيرو.jpg,https://images.dubizzle.com.eg/thumbnails/137308444-400x300.jpeg,"كرسين باجيرو. السعر: جنيه مصري 6500. الموقع: Hadayek al-Ahram, Giza.  تم النشر منذ 33 دقيقة مضت.",Fixed
ترابيزه,"EGP 8,000","Qanater al-Khairia, Qalyubia",35 minutes ago,ترابيزه.jpg,https://images.dubizzle.com.eg/thumbnails/137308392-400x300.jpeg,"ترابيزه. السعر: جنيه مصري 8000. الموقع: Qanater al-Khairia, Qalyubia.  تم النشر منذ 35 دقيقة مضت.",Fixed
سفره خشب زان,"EGP 30,000","Qanater al-Khairia, Qalyubia",36 minutes ago,سفره خشب زان.jpg,https://images.dubizzle.com.eg/thumbnails/137308289-400x300.jpeg,"سفره خشب زان. السعر: جنيه مصري 30000. الموقع: Qanater al-Khairia, Qalyubia. مصنوع من الخشب تم النشر منذ 36 دقيقة مضت.",Negotiable
انتريه كامل ٢كنبه ٢ كرسى محتاج كسوه خشب كويس جدا,"EGP 3,000","Marg, Cairo",38 minutes ago,انتريه كامل ٢كنبه ٢ كرسى محتاج كسوه خشب كويس جدا.jpg,https://images.dubizzle.com.eg/thumbnails/137308240-400x300.jpeg,"انتريه كامل ٢كنبه ٢ كرسى محتاج كسوه خشب كويس جدا. السعر: جنيه مصري 3000. الموقع: Marg, Cairo. مصنوع من الخشب تم النشر منذ 38 دقيقة مضت.",Negotiable
معدات مطعم كامله,"EGP 3,000","Mansuriyya, Giza",38 minutes ago,معدات مطعم كامله.jpg,https://images.dubizzle.com.eg/thumbnails/137308215-400x300.jpeg,"معدات مطعم كامله. السعر: جنيه مصري 3000. الموقع: Mansuriyya, Giza.  تم النشر منذ 38 دقيقة مضت.",Negotiable
سرير فرد,"EGP 3,500","Al Ibrahimiyyah, Alexandria",38 minutes ago,سرير فرد.jpg,https://images.dubizzle.com.eg/thumbnails/137308194-400x300.jpeg,"سرير فرد. السعر: جنيه مصري 3500. الموقع: Al Ibrahimiyyah, Alexandria.  تم النشر منذ 38 دقيقة مضت.",Negotiable
ترابيزة,"EGP 3,000","Zahraa Madinat Nasr, Nasr City",39 minutes ago,ترابيزة.jpg,https://images.dubizzle.com.eg/thumbnails/137308174-400x300.jpeg,"ترابيزة. السعر: جنيه مصري 3000. الموقع: Zahraa Madinat Nasr, Nasr City.  تم النشر منذ 39 دقيقة مضت.",Negotiable
نجفه خشب ف استانلس,EGP 400,"Gesr Al Suez, Cairo",40 minutes ago,نجفه خشب ف استانلس.jpg,https://images.dubizzle.com.eg/thumbnails/74745892-400x300.jpeg,"نجفه خشب ف استانلس. السعر: جنيه مصري 400. الموقع: Gesr Al Suez, Cairo. مصنوع من الخشب تم النشر منذ 40 دقيقة مضت.",Fixed
باب شقه,"EGP 2,500","8th District, 6th of October",41 minutes ago,باب شقه.jpg,https://images.dubizzle.com.eg/thumbnails/137308125-400x300.jpeg,"باب شقه. السعر: جنيه مصري 2500. الموقع: 8th District, 6th of October.  تم النشر منذ 41 دقيقة مضت.",Fixed
سفره خشب زان,"EGP 9,800","Helwan, Cairo",43 minutes ago,سفره خشب زان.jpg,https://images.dubizzle.com.eg/thumbnails/137308043-400x300.jpeg,"سفره خشب زان. السعر: جنيه مصري 9800. الموقع: Helwan, Cairo. مصنوع من الخشب تم النشر منذ 43 دقيقة مضت.",Negotiable
٢ سرير,"EGP 4,500","10th District, Nasr City",43 minutes ago,٢ سرير.jpg,https://images.dubizzle.com.eg/thumbnails/137308030-400x300.jpeg,"٢ سرير. السعر: جنيه مصري 4500. الموقع: 10th District, Nasr City.  تم النشر منذ 43 دقيقة مضت.",Fixed
